MakeModel,Crew,Seats,CruiseSpeed,GPH,FuelType,MTOW,EmptyWeight,Price,Ext1,LTip,LAux,LMain,Center1,Center2,Center3,RMain,RAux,RTip,RExt2,Engines,EnginePrice,
Aermacchi - Lockheed AL-60,0,8,218,35,0,2051,1068,421050.00,0,0,0,0,125,0,0,0,0,0,0,1,44000.00,
Aero Design AC500C,0,7,203,37,0,2722,1746,326550.00,0,0,0,30,96,0,0,30,0,0,0,2,44000.00,
Aero Design AC680S,0,7,210,34,0,3175,2005,342300.00,0,0,0,60,103,0,0,60,0,0,0,2,44000.00,
Aero Design AC690,0,8,200,60,1,4683,2810,362250.00,0,0,0,192,0,0,0,192,0,0,0,2,114000.00,
Aero Vodochody L-39,0,2,435,700,1,9233,4980,245000.00,0,0,0,200,300,0,0,200,0,0,0,1,160000.00,
Aeronca Champion,0,2,80,4,0,533,325,19800.00,0,0,0,0,13,0,0,0,0,0,0,1,22000.00,
Agusta A109,0,8,130,60,1,2722,1930,210000.00,0,0,0,0,91,0,0,0,0,0,0,2,114000.00,
Airbus A320,12,150,454,960,1,73500,42220,0.00,0,0,232,1815,2166,790,790,1815,232,0,0,2,210000.00,
Airbus A321,12,185,477,1835,1,92986,48038,0.00,0,0,780,2040,2150,0,0,2040,780,0,0,2,210000.00,
Aircreation 582SL,0,2,60,4,0,446,168,31800.00,0,0,0,0,10,0,0,0,0,0,0,1,22000.00,
Airspeed AS-57 Ambassador ,4,47,260,310,0,23864,16062,3220500.00,0,0,0,110,362,362,0,110,0,0,0,2,66000.00,
Alenia C-27J Spartan,4,50,300,430,1,30500,14620,3928500.00,0,0,0,1499,2313,0,0,1499,0,0,0,2,143000.00,
Alenia C-27J Spartan (IRIS),4,50,300,430,1,30500,14620,3928500.00,0,427,1200,0,0,0,0,0,1200,427,0,2,143000.00,
American Champion Scout,0,3,112,8,0,1005,597,25200.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Antonov An-14,0,8,94,23,0,3630,2600,199380.00,0,0,0,52,0,0,0,52,0,0,0,2,66000.00,
Antonov AN-2,0,13,100,60,0,5500,3330,297000.00,0,0,0,158,0,0,0,158,0,0,0,1,66000.00,
Antonov An-24,4,50,260,305,1,21000,13800,3303750.00,0,0,0,733,0,0,0,733,0,0,0,2,143000.00,
Antonov An-26 Curl,3,42,237,350,1,20820,13400,2691830.00,0,0,100,500,300,0,0,500,100,0,0,2,143000.00,
Antonov An-28,1,20,180,108,1,6500,4123,828600.00,0,90,0,197,0,0,0,197,0,90,0,2,114000.00,
