icao,lat,lon,type,size,name,city,state,country
00AL,34.8648,-86.7703,civil,701,Epps Airpark,Harvest,Alabama,United States
00AZ,34.3056,-112.165,civil,518,Cordes,Cordes,Arizona,United States
00B,38.9147,-76.5047,water,999,South River,Edgewater,Maryland,United States
00C,37.2032,-107.869,civil,1528,Animas,Durango,Colorado,United States
00CA,35.3505,-116.888,civil,1829,Goldstone (GTS),Barstow,California,United States
00CL,38.6382,-121.515,civil,823,Natomas Field,Sacramento,California,United States
00CO,40.6222,-104.344,civil,1189,Cass Field,Briggsdale,Colorado,United States
00FA,28.6455,-82.219,civil,975,Grass Patch,Bushnell,Florida,United States
00FL,27.2309,-80.9692,civil,1247,River Oak,Okeechobee,Florida,United States
00GA,33.7675,-84.0683,civil,792,Lt World,Lithonia,Georgia,United States
00IL,41.9784,-89.5604,civil,762,Hammer,Polo,Illinois,United States
00IS,40.0256,-89.1229,civil,488,Hayenga's Cant Find Farms,Kings,Illinois,United States
00KS,38.7278,-94.9305,civil,792,Hayden Farm,Gardner,Kansas,United States
00M,31.9538,-89.2345,civil,914,Thigpen,Bay Springs,Mississippi,United States
00MD,38.7571,-75.7538,civil,518,Slater Fld,Federalsburg,Maryland,United States
00MN,46.3,-95.7003,civil,899,Battle Lake Muni,Battle Lake,Minnesota,United States
00MO,37.2028,-94.4124,civil,732,Cooper Flying Service,Alba,Missouri,United States
00MT,48.5375,-109.705,civil,610,Sands Ranch,Havre,Montana,United States
00N,39.4732,-75.1852,civil,579,Bucks,Bridgeton,New Jersey,United States
00NC,36.0852,-78.3714,civil,808,North Raleigh,Louisburg,North Carolina,United States
00NY,42.9001,-77.4997,civil,716,Weiss Airfield,West Bloomfield,New York,United States
00OH,41.5909,-84.1422,civil,821,Exit 3,Wauseon,Ohio,United States
00PS,40.3778,-77.3653,civil,945,Thomas Field,Loysville,Pennsylvania,United States
00Q,39.0749,-121.918,civil,549,Thayer Aviation,Grimes,California,United States
00R,30.6859,-95.0179,civil,1128,Livingston Mun,Livingston,Texas,United States
00S,44.1832,-122.089,civil,792,McKenzie Bridge State,McKenzie Bridge,Oregon,United States
00TN,35.5159,-85.9536,civil,549,Ragsdale Road,Manchester,Tennessee,United States
00TS,32.6076,-97.242,civil,366,Alpine Range,Everman,Texas,United States
00UT,37.2478,-112.822,civil,1036,Clear Creek Ranch,Kanab,Utah,United States
00V,38.9458,-104.57,civil,3530,Meadow Lake,Colorado Springs,Colorado,United States
00VI,36.6633,-80.4995,civil,457,Groundhog Mountain,Hillsville,Virginia,United States
00W,46.6735,-117.443,civil,1036,Lower Granite State,Colfax,Washington,United States
00WA,47.1784,-122.772,civil,337,Howell,Longbranch,Washington,United States
